CST_ICMS;DESC_CST;INICIO;FIM
000;Nacional - Tributada integralmente;2009-01-01;2012-12-31
010;Nacional - Tributada e com cobrança do ICMS por substituição tributária;2009-01-01;2012-12-31
020;Nacional - Com redução de base de cálculo;2009-01-01;2012-12-31
030;Nacional - Isenta ou não tributada e com cobrança do ICMS por substituição tributária;2009-01-01;2012-12-31
040;Nacional - Isenta;2009-01-01;2012-12-31
041;Nacional - Não tributada;2009-01-01;2012-12-31
050;Nacional - Suspensão;2009-01-01;2012-12-31
051;Nacional - Diferimento;2009-01-01;2012-12-31
060;Nacional - ICMS cobrado anteriormente por substituição tributária;2009-01-01;2012-12-31
070;Nacional - Com redução de base de cálculo e cobrança do ICMS por substituição tributária;2009-01-01;2012-12-31
090;Nacional - Outras;2009-01-01;2012-12-31
100;Estrangeira - Importação direta - Tributada integralmente;2009-01-01;2012-12-31
110;Estrangeira - Importação direta - Tributada e com cobrança do ICMS por substituição tributária;2009-01-01;2012-12-31
120;Estrangeira - Importação direta - Com redução de base de cálculo;2009-01-01;2012-12-31
130;Estrangeira - Importação direta - Isenta ou não tributada e com cobrança do ICMS por substituição tributária;2009-01-01;2012-12-31
140;Estrangeira - Importação direta - Isenta;2009-01-01;2012-12-31
141;Estrangeira - Importação direta - Não tributada;2009-01-01;2012-12-31
150;Estrangeira - Importação direta - Suspensão;2009-01-01;2012-12-31
151;Estrangeira - Importação direta - Diferimento;2009-01-01;2012-12-31
160;Estrangeira - Importação direta - ICMS cobrado anteriormente por substituição tributária;2009-01-01;2012-12-31
170;Estrangeira - Importação direta - Com redução de base de cálculo e cobrança do ICMS por substituição tributária;2009-01-01;2012-12-31
190;Estrangeira - Importação direta - Outras;2009-01-01;2012-12-31
200;Estrangeira - Adquirida no mercado interno - Tributada integralmente;2009-01-01;2012-12-31
210;Estrangeira - Adquirida no mercado interno - Tributada e com cobrança do ICMS por substituição tributária;2009-01-01;2012-12-31
220;Estrangeira - Adquirida no mercado interno - Com redução de base de cálculo;2009-01-01;2012-12-31
230;Estrangeira - Adquirida no mercado interno - Isenta ou não tributada e com cobrança do ICMS por substituição tributária;2009-01-01;2012-12-31
240;Estrangeira - Adquirida no mercado interno - Isenta;2009-01-01;2012-12-31
241;Estrangeira - Adquirida no mercado interno - Não tributada;2009-01-01;2012-12-31
250;Estrangeira - Adquirida no mercado interno - Suspensão;2009-01-01;2012-12-31
251;Estrangeira - Adquirida no mercado interno - Diferimento;2009-01-01;2012-12-31
260;Estrangeira - Adquirida no mercado interno - ICMS cobrado anteriormente por substituição tributária;2009-01-01;2012-12-31
270;Estrangeira - Adquirida no mercado interno - Com redução de base de cálculo e cobrança do ICMS por substituição tributária;2009-01-01;2012-12-31
290;Estrangeira - Adquirida no mercado interno - Outras;2009-01-01;2012-12-31
101;Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito;2010-10-01;
102;Simples Nacional - Tributada pelo Simples Nacional sem permissão de crédito;2010-10-01;2023-03-31
102;Para Simples Nacional: Tributada pelo Simples Nacional sem permissão de crédito / Para CST ICMS: Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributação monofásica própria sobre combustíveis;2023-04-01;
103;Simples Nacional - Isenção do ICMS no Simples Nacional para faixa de receita bruta;2010-10-01;
201;Simples Nacional - Tributada pelo Simples Nacional com permissão de crédito e com cobrança do ICMS por substituição tributária;2010-10-01;
202;Simples Nacional - Tributada pelo Simples Nacional sem permissão de crédito e com cobrança do ICMS por substituição tributária;2010-10-01;2023-03-31
202;Para Simples Nacional: Tributada pelo Simples Nacional sem permissão de crédito e com cobrança do ICMS por substituição tributária / Para CST ICMS: Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Tributação monofásica própria sobre combustíveis;2023-04-01;
203;Simples Nacional - Isenção do ICMS no Simples Nacional para faixa de receita bruta e com cobrança do ICMS por substituição tributária;2010-10-01;
300;Simples Nacional - Imune;2010-10-01;2012-12-31
400;Simples Nacional - Não tributada pelo Simples Nacional;2010-10-01;2012-12-31
500;Simples Nacional - ICMS cobrado anteriormente por substituição tributária (substituído) ou por antecipação;2010-10-01;2012-12-31
900;Simples Nacional - Outros;2010-10-01;
000;Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Tributada integralmente;2013-01-01;2013-07-31
010;Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Tributada e com cobrança do ICMS por substituição tributária;2013-01-01;2013-07-31
020;Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Com redução de base de cálculo;2013-01-01;2013-07-31
030;Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Isenta ou não tributada e com cobrança do ICMS por substituição tributária;2013-01-01;2013-07-31
040;Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Isenta;2013-01-01;2013-07-31
041;Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Não tributada;2013-01-01;2013-07-31
050;Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Suspensão;2013-01-01;2013-07-31
051;Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Diferimento;2013-01-01;2013-07-31
060;Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - ICMS cobrado anteriormente por substituição tributária;2013-01-01;2013-07-31
070;Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Com redução de base de cálculo e cobrança do ICMS por substituição tributária;2013-01-01;2013-07-31
090;Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Outras;2013-01-01;2013-07-31
000;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Tributada integralmente;2013-08-01;
010;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Tributada e com cobrança do ICMS por substituição tributária;2013-08-01;
020;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Com redução de base de cálculo;2013-08-01;
030;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Isenta ou não tributada e com cobrança do ICMS por substituição tributária;2013-08-01;
040;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Isenta;2013-08-01;
041;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Não tributada;2013-08-01;
050;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Suspensão;2013-08-01;
051;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Diferimento;2013-08-01;
060;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - ICMS cobrado anteriormente por substituição tributária;2013-08-01;
070;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Com redução de base de cálculo e cobrança do ICMS por substituição tributária;2013-08-01;
090;Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8 da Tabela A - Outras;2013-08-01;
100;Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada integralmente;2013-01-01;
110;Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributada e com cobrança do ICMS por substituição tributária;2013-01-01;
120;Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Com redução de base de cálculo;2013-01-01;
130;Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Isenta ou não tributada e com cobrança do ICMS por substituição tributária;2013-01-01;
140;Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Isenta;2013-01-01;
141;Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Não tributada;2013-01-01;
150;Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Suspensão;2013-01-01;
151;Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Diferimento;2013-01-01;
160;Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - ICMS cobrado anteriormente por substituição tributária;2013-01-01;
170;Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Com redução de base de cálculo e cobrança do ICMS por substituição tributária;2013-01-01;
190;Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Outras;2013-01-01;
200;Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Tributada integralmente;2013-01-01;
210;Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Tributada e com cobrança do ICMS por substituição tributária;2013-01-01;
220;Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Com redução de base de cálculo;2013-01-01;
230;Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Isenta ou não tributada e com cobrança do ICMS por substituição tributária;2013-01-01;
240;Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Isenta;2013-01-01;
241;Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Não tributada;2013-01-01;
250;Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Suspensão;2013-01-01;
251;Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Diferimento;2013-01-01;
260;Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - ICMS cobrado anteriormente por substituição tributária;2013-01-01;
270;Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Com redução de base de cálculo e cobrança do ICMS por substituição tributária;2013-01-01;
290;Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Outras;2013-01-01;
300;Nacional, mercadoria ou bem com Conteúdo de Importação superior a  40% (quarenta por cento) - Tributada integralmente;2013-01-01;2013-07-31
310;Nacional, mercadoria ou bem com Conteúdo de Importação superior a  40% (quarenta por cento) - Tributada e com cobrança do ICMS por substituição tributária;2013-01-01;2013-07-31
320;Nacional, mercadoria ou bem com Conteúdo de Importação superior a  40% (quarenta por cento) - Com redução de base de cálculo;2013-01-01;2013-07-31
330;Nacional, mercadoria ou bem com Conteúdo de Importação superior a  40% (quarenta por cento) - Isenta ou não tributada e com cobrança do ICMS por substituição tributária;2013-01-01;2013-07-31
340;Nacional, mercadoria ou bem com Conteúdo de Importação superior a  40% (quarenta por cento) - Isenta;2013-01-01;2013-07-31
341;Nacional, mercadoria ou bem com Conteúdo de Importação superior a  40% (quarenta por cento) - Não tributada;2013-01-01;2013-07-31
350;Nacional, mercadoria ou bem com Conteúdo de Importação superior a  40% (quarenta por cento) - Suspensão;2013-01-01;2013-07-31
351;Nacional, mercadoria ou bem com Conteúdo de Importação superior a  40% (quarenta por cento) - Diferimento;2013-01-01;2013-07-31
360;Nacional, mercadoria ou bem com Conteúdo de Importação superior a  40% (quarenta por cento) - ICMS cobrado anteriormente por substituição tributária;2013-01-01;2013-07-31
370;Nacional, mercadoria ou bem com Conteúdo de Importação superior a  40% (quarenta por cento) - Com redução de base de cálculo e cobrança do ICMS por substituição tributária;2013-01-01;2013-07-31
390;Nacional, mercadoria ou bem com Conteúdo de Importação superior a  40% (quarenta por cento) - Outras;2013-01-01;2013-07-31
300;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 40% (quarenta por cento) e inferior ou igual a 70% (setenta por cento) - Tributada integralmente;2013-08-01;
310;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 40% (quarenta por cento) e inferior ou igual a 70% (setenta por cento) - Tributada e com cobrança do ICMS por substituição tributária;2013-08-01;
320;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 40% (quarenta por cento) e inferior ou igual a 70% (setenta por cento) - Com redução de base de cálculo;2013-08-01;
330;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 40% (quarenta por cento) e inferior ou igual a 70% (setenta por cento) - Isenta ou não tributada e com cobrança do ICMS por substituição tributária;2013-08-01;
340;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 40% (quarenta por cento) e inferior ou igual a 70% (setenta por cento) - Isenta;2013-08-01;
341;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 40% (quarenta por cento) e inferior ou igual a 70% (setenta por cento) - Não tributada;2013-08-01;
350;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 40% (quarenta por cento) e inferior ou igual a 70% (setenta por cento) - Suspensão;2013-08-01;
351;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 40% (quarenta por cento) e inferior ou igual a 70% (setenta por cento) - Diferimento;2013-08-01;
360;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 40% (quarenta por cento) e inferior ou igual a 70% (setenta por cento) - ICMS cobrado anteriormente por substituição tributária;2013-08-01;
370;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 40% (quarenta por cento) e inferior ou igual a 70% (setenta por cento) - Com redução de base de cálculo e cobrança do ICMS por substituição tributária;2013-08-01;
390;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 40% (quarenta por cento) e inferior ou igual a 70% (setenta por cento) - Outras;2013-08-01;
400;Nacional, cuja produção tenha sido feita em conformidade com os processos produtivos básicos de que tratam o Decreto-Lei nº 288/67, e as Leis nºs 8.248/91, 8.387/91, 10.176/01 e 11.484/07 - Tributada integralmente;2013-01-01;
410;Nacional, cuja produção tenha sido feita em conformidade com os processos produtivos básicos de que tratam o Decreto-Lei nº 288/67, e as Leis nºs 8.248/91, 8.387/91, 10.176/01 e 11.484/08 - Tributada e com cobrança do ICMS por substituição tributária;2013-01-01;
420;Nacional, cuja produção tenha sido feita em conformidade com os processos produtivos básicos de que tratam o Decreto-Lei nº 288/67, e as Leis nºs 8.248/91, 8.387/91, 10.176/01 e 11.484/09 - Com redução de base de cálculo;2013-01-01;
430;Nacional, cuja produção tenha sido feita em conformidade com os processos produtivos básicos de que tratam o Decreto-Lei nº 288/67, e as Leis nºs 8.248/91, 8.387/91, 10.176/01 e 11.484/10 - Isenta ou não tributada e com cobrança do ICMS por substituição tributária;2013-01-01;
440;Nacional, cuja produção tenha sido feita em conformidade com os processos produtivos básicos de que tratam o Decreto-Lei nº 288/67, e as Leis nºs 8.248/91, 8.387/91, 10.176/01 e 11.484/11 - Isenta;2013-01-01;
441;Nacional, cuja produção tenha sido feita em conformidade com os processos produtivos básicos de que tratam o Decreto-Lei nº 288/67, e as Leis nºs 8.248/91, 8.387/91, 10.176/01 e 11.484/12 - Não tributada;2013-01-01;
450;Nacional, cuja produção tenha sido feita em conformidade com os processos produtivos básicos de que tratam o Decreto-Lei nº 288/67, e as Leis nºs 8.248/91, 8.387/91, 10.176/01 e 11.484/13 - Suspensão;2013-01-01;
451;Nacional, cuja produção tenha sido feita em conformidade com os processos produtivos básicos de que tratam o Decreto-Lei nº 288/67, e as Leis nºs 8.248/91, 8.387/91, 10.176/01 e 11.484/14 - Diferimento;2013-01-01;
460;Nacional, cuja produção tenha sido feita em conformidade com os processos produtivos básicos de que tratam o Decreto-Lei nº 288/67, e as Leis nºs 8.248/91, 8.387/91, 10.176/01 e 11.484/15 - ICMS cobrado anteriormente por substituição tributária;2013-01-01;
470;Nacional, cuja produção tenha sido feita em conformidade com os processos produtivos básicos de que tratam o Decreto-Lei nº 288/67, e as Leis nºs 8.248/91, 8.387/91, 10.176/01 e 11.484/16 - Com redução de base de cálculo e cobrança do ICMS por substituição tributária;2013-01-01;
490;Nacional, cuja produção tenha sido feita em conformidade com os processos produtivos básicos de que tratam o Decreto-Lei nº 288/67, e as Leis nºs 8.248/91, 8.387/91, 10.176/01 e 11.484/17 - Outras;2013-01-01;
500;Nacional, mercadoria ou bem com Conteúdo de Importação inferior ou igual a 40% (quarenta por cento) - Tributada integralmente;2013-01-01;
510;Nacional, mercadoria ou bem com Conteúdo de Importação inferior ou igual a 40% (quarenta por cento) - Tributada e com cobrança do ICMS por substituição tributária;2013-01-01;
520;Nacional, mercadoria ou bem com Conteúdo de Importação inferior ou igual a 40% (quarenta por cento) - Com redução de base de cálculo;2013-01-01;
530;Nacional, mercadoria ou bem com Conteúdo de Importação inferior ou igual a 40% (quarenta por cento) - Isenta ou não tributada e com cobrança do ICMS por substituição tributária;2013-01-01;
540;Nacional, mercadoria ou bem com Conteúdo de Importação inferior ou igual a 40% (quarenta por cento) - Isenta;2013-01-01;
541;Nacional, mercadoria ou bem com Conteúdo de Importação inferior ou igual a 40% (quarenta por cento) - Não tributada;2013-01-01;
550;Nacional, mercadoria ou bem com Conteúdo de Importação inferior ou igual a 40% (quarenta por cento) - Suspensão;2013-01-01;
551;Nacional, mercadoria ou bem com Conteúdo de Importação inferior ou igual a 40% (quarenta por cento) - Diferimento;2013-01-01;
560;Nacional, mercadoria ou bem com Conteúdo de Importação inferior ou igual a 40% (quarenta por cento) - ICMS cobrado anteriormente por substituição tributária;2013-01-01;
570;Nacional, mercadoria ou bem com Conteúdo de Importação inferior ou igual a 40% (quarenta por cento) - Com redução de base de cálculo e cobrança do ICMS por substituição tributária;2013-01-01;
590;Nacional, mercadoria ou bem com Conteúdo de Importação inferior ou igual a 40% (quarenta por cento) - Outras;2013-01-01;
600;Estrangeira - Importação direta, sem similar nacional, constante em lista de Resolução CAMEX - Tributada integralmente;2013-01-01;
610;Estrangeira - Importação direta, sem similar nacional, constante em lista de Resolução CAMEX - Tributada e com cobrança do ICMS por substituição tributária;2013-01-01;
620;Estrangeira - Importação direta, sem similar nacional, constante em lista de Resolução CAMEX - Com redução de base de cálculo;2013-01-01;
630;Estrangeira - Importação direta, sem similar nacional, constante em lista de Resolução CAMEX - Isenta ou não tributada e com cobrança do ICMS por substituição tributária;2013-01-01;
640;Estrangeira - Importação direta, sem similar nacional, constante em lista de Resolução CAMEX - Isenta;2013-01-01;
641;Estrangeira - Importação direta, sem similar nacional, constante em lista de Resolução CAMEX - Não tributada;2013-01-01;
650;Estrangeira - Importação direta, sem similar nacional, constante em lista de Resolução CAMEX - Suspensão;2013-01-01;
651;Estrangeira - Importação direta, sem similar nacional, constante em lista de Resolução CAMEX - Diferimento;2013-01-01;
660;Estrangeira - Importação direta, sem similar nacional, constante em lista de Resolução CAMEX - ICMS cobrado anteriormente por substituição tributária;2013-01-01;
670;Estrangeira - Importação direta, sem similar nacional, constante em lista de Resolução CAMEX - Com redução de base de cálculo e cobrança do ICMS por substituição tributária;2013-01-01;
690;Estrangeira - Importação direta, sem similar nacional, constante em lista de Resolução CAMEX - Outras;2013-01-01;
700;Estrangeira - Adquirida no mercado interno, sem similar nacional, constante em lista de Resolução CAMEX - Tributada integralmente;2013-01-01;
710;Estrangeira - Adquirida no mercado interno, sem similar nacional, constante em lista de Resolução CAMEX - Tributada e com cobrança do ICMS por substituição tributária;2013-01-01;
720;Estrangeira - Adquirida no mercado interno, sem similar nacional, constante em lista de Resolução CAMEX - Com redução de base de cálculo;2013-01-01;
730;Estrangeira - Adquirida no mercado interno, sem similar nacional, constante em lista de Resolução CAMEX - Isenta ou não tributada e com cobrança do ICMS por substituição tributária;2013-01-01;
740;Estrangeira - Adquirida no mercado interno, sem similar nacional, constante em lista de Resolução CAMEX - Isenta;2013-01-01;
741;Estrangeira - Adquirida no mercado interno, sem similar nacional, constante em lista de Resolução CAMEX - Não tributada;2013-01-01;
750;Estrangeira - Adquirida no mercado interno, sem similar nacional, constante em lista de Resolução CAMEX - Suspensão;2013-01-01;
751;Estrangeira - Adquirida no mercado interno, sem similar nacional, constante em lista de Resolução CAMEX - Diferimento;2013-01-01;
760;Estrangeira - Adquirida no mercado interno, sem similar nacional, constante em lista de Resolução CAMEX - ICMS cobrado anteriormente por substituição tributária;2013-01-01;
770;Estrangeira - Adquirida no mercado interno, sem similar nacional, constante em lista de Resolução CAMEX - Com redução de base de cálculo e cobrança do ICMS por substituição tributária;2013-01-01;
790;Estrangeira - Adquirida no mercado interno, sem similar nacional, constante em lista de Resolução CAMEX - Outras;2013-01-01;
800;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 70% (setenta por cento) - Tributada integralmente;2013-08-01;
810;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 70% (setenta por cento) - Tributada e com cobrança do ICMS por substituição tributária;2013-08-01;
820;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 70% (setenta por cento) - Com redução de base de cálculo;2013-08-01;
830;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 70% (setenta por cento) - Isenta ou não tributada e com cobrança do ICMS por substituição tributária;2013-08-01;
840;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 70% (setenta por cento) - Isenta;2013-08-01;
841;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 70% (setenta por cento) - Não tributada;2013-08-01;
850;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 70% (setenta por cento) - Suspensão;2013-08-01;
851;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 70% (setenta por cento) - Diferimento;2013-08-01;
860;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 70% (setenta por cento) - ICMS cobrado anteriormente por substituição tributária;2013-08-01;
870;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 70% (setenta por cento) - Com redução de base de cálculo e cobrança do ICMS por substituição tributária;2013-08-01;
890;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 70% (setenta por cento) - Outras;2013-08-01;
002;Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Tributação monofásica própria sobre combustíveis;2023-04-01;
015;Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Tributação monofásica própria e com responsabilidade pela retenção sobre combustíveis;2023-04-01;
053;Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Tributação monofásica sobre combustíveis com recolhimento diferido;2023-04-01;
061;Nacional, exceto as indicadas nos códigos 3 a 5 da Tabela A - Tributação monofásica sobre combustíveis cobrada anteriormente;2023-04-01;
115;Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributação monofásica própria e com responsabilidade pela retenção sobre combustíveis;2023-04-01;
153;Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributação monofásica sobre combustíveis com recolhimento diferido;2023-04-01;
161;Estrangeira - Importação direta, exceto a indicada no código 6 da Tabela A - Tributação monofásica sobre combustíveis cobrada anteriormente;2023-04-01;
215;Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Tributação monofásica própria e com responsabilidade pela retenção sobre combustíveis;2023-04-01;
253;Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Tributação monofásica sobre combustíveis com recolhimento diferido;2023-04-01;
261;Estrangeira - Adquirida no mercado interno, exceto a indicada no código 7 da Tabela A - Tributação monofásica sobre combustíveis cobrada anteriormente;2023-04-01;
302;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 40% (quarenta por cento) e inferior ou igual a 70% (setenta por cento) - Tributação monofásica própria sobre combustíveis;2023-04-01;
315;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 40% (quarenta por cento) e inferior ou igual a 70% (setenta por cento) - Tributação monofásica própria e com responsabilidade pela retenção sobre combustíveis;2023-04-01;
353;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 40% (quarenta por cento) e inferior ou igual a 70% (setenta por cento) - Tributação monofásica sobre combustíveis com recolhimento diferido;2023-04-01;
361;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 40% (quarenta por cento) e inferior ou igual a 70% (setenta por cento) - Tributação monofásica sobre combustíveis cobrada anteriormente;2023-04-01;
402;Nacional, cuja produção tenha sido feita em conformidade com os processos produtivos básicos de que tratam o Decreto-Lei nº 288/67, e as Leis nºs 8.248/91, 8.387/91, 10.176/01 e 11.484/07 - Tributação monofásica própria sobre combustíveis;2023-04-01;
415;Nacional, cuja produção tenha sido feita em conformidade com os processos produtivos básicos de que tratam o Decreto-Lei nº 288/67, e as Leis nºs 8.248/91, 8.387/91, 10.176/01 e 11.484/07 - Tributação monofásica própria e com responsabilidade pela retenção sobre combustíveis;2023-04-01;
453;Nacional, cuja produção tenha sido feita em conformidade com os processos produtivos básicos de que tratam o Decreto-Lei nº 288/67, e as Leis nºs 8.248/91, 8.387/91, 10.176/01 e 11.484/07 - Tributação monofásica sobre combustíveis com recolhimento diferido;2023-04-01;
461;Nacional, cuja produção tenha sido feita em conformidade com os processos produtivos básicos de que tratam o Decreto-Lei nº 288/67, e as Leis nºs 8.248/91, 8.387/91, 10.176/01 e 11.484/07 - Tributação monofásica sobre combustíveis cobrada anteriormente;2023-04-01;
502;Nacional, mercadoria ou bem com Conteúdo de Importação inferior ou igual a 40% (quarenta por cento) - Tributação monofásica própria sobre combustíveis;2023-04-01;
515;Nacional, mercadoria ou bem com Conteúdo de Importação inferior ou igual a 40% (quarenta por cento) - Tributação monofásica própria e com responsabilidade pela retenção sobre combustíveis;2023-04-01;
553;Nacional, mercadoria ou bem com Conteúdo de Importação inferior ou igual a 40% (quarenta por cento) - Tributação monofásica sobre combustíveis com recolhimento diferido;2023-04-01;
561;Nacional, mercadoria ou bem com Conteúdo de Importação inferior ou igual a 40% (quarenta por cento) - Tributação monofásica sobre combustíveis cobrada anteriormente;2023-04-01;
602;Estrangeira - Importação direta, sem similar nacional, constante em lista de Resolução CAMEX - Tributação monofásica própria sobre combustíveis;2023-04-01;
615;Estrangeira - Importação direta, sem similar nacional, constante em lista de Resolução CAMEX - Tributação monofásica própria e com responsabilidade pela retenção sobre combustíveis;2023-04-01;
653;Estrangeira - Importação direta, sem similar nacional, constante em lista de Resolução CAMEX - Tributação monofásica sobre combustíveis com recolhimento diferido;2023-04-01;
661;Estrangeira - Importação direta, sem similar nacional, constante em lista de Resolução CAMEX - Tributação monofásica sobre combustíveis cobrada anteriormente;2023-04-01;
702;Estrangeira - Adquirida no mercado interno, sem similar nacional, constante em lista de Resolução CAMEX - Tributação monofásica própria sobre combustíveis;2023-04-01;
715;Estrangeira - Adquirida no mercado interno, sem similar nacional, constante em lista de Resolução CAMEX - Tributação monofásica própria e com responsabilidade pela retenção sobre combustíveis;2023-04-01;
753;Estrangeira - Adquirida no mercado interno, sem similar nacional, constante em lista de Resolução CAMEX - Tributação monofásica sobre combustíveis com recolhimento diferido;2023-04-01;
761;Estrangeira - Adquirida no mercado interno, sem similar nacional, constante em lista de Resolução CAMEX - Tributação monofásica sobre combustíveis cobrada anteriormente;2023-04-01;
802;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 70% (setenta por cento) - Tributação monofásica própria sobre combustíveis;2023-04-01;
815;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 70% (setenta por cento) - Tributação monofásica própria e com responsabilidade pela retenção sobre combustíveis;2023-04-01;
853;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 70% (setenta por cento) - Tributação monofásica sobre combustíveis com recolhimento diferido;2023-04-01;
861;Nacional, mercadoria ou bem com Conteúdo de Importação superior a 70% (setenta por cento) - Tributação monofásica sobre combustíveis cobrada anteriormente;2023-04-01;
